timestamp,sender,receiver,message_type,message
2026-08-01 08:37:24,GuiD,ALL,broadcast,bc-026
2026-08-01 08:37:24,GuiA,ALL,broadcast,bc-027
2026-08-01 08:37:24,GuiB,ALL,broadcast,bc-027
2026-08-01 08:37:24,GuiC,ALL,broadcast,bc-027
2026-08-01 08:37:24,GuiD,ALL,broadcast,bc-027
2026-08-01 08:37:24,GuiB,GuiA,private,pm-028
2026-08-01 08:37:24,GuiA,GuiB,private,pm-028
2026-08-01 08:37:24,GuiC,GuiA,private,pm-028
2026-08-01 08:37:24,GuiD,GuiA,private,pm-028
2026-08-01 08:37:24,GuiB,ALL,broadcast,bc-029
2026-08-01 08:37:24,GuiA,ALL,broadcast,bc-029
2026-08-01 08:37:24,GuiC,ALL,broadcast,bc-029
2026-08-01 08:37:24,GuiD,ALL,broadcast,bc-029
2026-08-01 08:37:24,GuiB,ALL,broadcast,bc-030
2026-08-01 08:37:24,GuiA,ALL,broadcast,bc-030
2026-08-01 08:37:24,GuiD,ALL,broadcast,bc-030
2026-08-01 08:37:24,GuiC,ALL,broadcast,bc-030
